巷道名稱,長度公尺,實際寬度公尺,受影響建築物之詳細地址,行政區,轄區分隊,分區
石城里122-86號,150,2.4,石城里122-50號至122-102號、石城里122-205號至122-218號,大內區,大內分隊,紅
石林里211-2號,152,2.9,石林里211-2號至211-5號,大內區,大內分隊,紅
石林里209-1號,114,2.5,石林里209-1號至209-6號,大內區,大內分隊,紅
石林里162號,176,2.9,石林里162號至179號,大內區,大內分隊,紅
石林里134號,139,1.8,石林里134號等,大內區,大內分隊,紅
石林里223號,128,2.4,石湖里223號至226號,大內區,大內分隊,紅
石湖里321號,97,2,石湖里321號至323號,大內區,大內分隊,紅
石湖里320-2號,97,2.4,石湖里308號至320-2號,大內區,大內分隊,紅
大內里34號,182,2.8,大內里58號等,大內區,大內分隊,紅
大內里265-1號,220,2,大內里263-1號至263-7號,大內區,大內分隊,紅
大內里119-1號,120,3.8,大內里109-1號至120號,大內區,大內分隊,紅
大內里124號,326,2,大內里124號至129號,大內區,大內分隊,紅
大內里158號,166,2.2,大內里158號至163號,大內區,大內分隊,紅
內江里231號,146,3,內江里231號至250號,大內區,大內分隊,紅
內江里225號,148,2.5,內江里225號至231號,大內區,大內分隊,紅
內江里220號,190,2.7,內江里174號至220號,大內區,大內分隊,紅
內郭里30號,138,3.8,內郭里30號至40號,大內區,大內分隊,紅
內郭里27-1號,206,2.2,內郭里27-1號至27-4號,大內區,大內分隊,紅
頭社里32號,226,3,頭社里21-31號、34-36號,大內區,大內分隊,紅
頭社里63號,132,2.5,頭社里46-3~46-8號、68號、68-1~68-6號、81-1號、82-1~82-6號,大內區,大內分隊,紅
環湖里110-2號,112,1.5,環湖里110-2號,大內區,大內分隊,紅
環湖里43-2號,118,2,環湖里24、25-2、27、27-1~27-2、36-1、43、44、46、48、,大內區,大內分隊,紅
環湖里51號,100,2,環湖里47、51、53、54號,大內區,大內分隊,紅
環湖里100號,116,2,環湖里82-1、85、88、89、100、101號,大內區,大內分隊,紅
二溪里163號,96,2,二溪里163號號至178號,大內區,大內分隊,紅
曲溪里88號,124,3.5,曲溪里69-10.82-1~82-4.69-10.84.88,大內區,大內分隊,紅
曲溪里95-2號,480,2.9,曲溪里93號至105-11號,大內區,大內分隊,紅
曲溪里23號,84,2,曲溪里23-35號,大內區,大內分隊,紅
石林里135號,230,4.5,石林里135～148號,大內區,大內分隊,黃
狹小巷道,200,3,南洲里159至186號一帶(開靈宮後方),山上區,山上分隊,紅
狹小巷道,200,3,南洲里215至300號一帶(南洲里農民活動中心至松樹公廟),山上區,山上分隊,紅
狹小巷道,200,3,山上里75至090號一帶(山上分隊後方至淨水場),山上區,山上分隊,紅
狹小巷道,200,3,明和里160至220號一帶(朝天宮至明和里活動中心),山上區,山上分隊,紅
狹小巷道,200,3,明和里北勢洲30至35號一帶(忠盛小吃部至一甲公司),山上區,山上分隊,紅
狹小巷道,200,5,山上區明和里北勢洲21號一帶(亞獵士公司),山上區,山上分隊,黃
中正里78-15號的巷子,100,5,78-7號至78-15號、68號、82號、83號、87號、85號、85-1號,左鎮區,左鎮分隊,黃
中正里79-1號的巷子,50,5,79-1號至79-14號,左鎮區,左鎮分隊,黃
中正里86號的巷子,100,5,84、84-1號~84-3號、86號、85-2號,左鎮區,左鎮分隊,黃
中正里150-1號的巷子,100,5,150-1號~150-2號、105-12號~105-24號、144號~147號,左鎮區,左鎮分隊,黃
中正里156-10號的巷子,100,5,150-3號~150-11號、152號、156-1號~156-17號,左鎮區,左鎮分隊,黃
中正里163號的巷子,300,5,163號、163-1號、162-6號、157號,左鎮區,左鎮分隊,黃
中正里165-5號的巷子,300,5,164-6號、165號、165-5號、165-1號~165-2號、168號、170-4號、170-6號,左鎮區,左鎮分隊,黃
中正里166-2號的巷子,400,5,166號、166-2號~166-7號、167-3號~167-6號,左鎮區,左鎮分隊,黃
中正里171-20號的巷子,200,5,171-6至24號、164號、164-2至164-5號,左鎮區,左鎮分隊,黃
中正里176-4號的巷子,50,5,176-4號至176-1號,左鎮區,左鎮分隊,黃
中正里176-12號的巷子,100,5,176-5號至176-14號,左鎮區,左鎮分隊,黃
中正里100-1號的巷子,100,3,100-1號~100-3號、103號~115號,左鎮區,左鎮分隊,黃
新化區中正路369巷,120,1.5,中正路369巷1～80號,新化區,新化分隊,黃
新化區崙頂里(崙子頂359號旁巷道),200,1.5,本社區門牌跳號，巷道呈網狀相連，凡崙子頂的門牌皆屬之,新化區,新化分隊,紅
新化區中山路224巷,156,1.5,中山路224巷1～41號,新化區,新化分隊,紅
新化區中正路542巷,160,1.5,中正路542巷1～24號,新化區,新化分隊,紅
觀音亭附近巷道,270,1.5,中山路272～310號接仁愛街12～63號,新化區,新化分隊,紅
中興路104巷,240,1.5,中興路104巷1～180號,新化區,新化分隊,紅
民族街,150,1.5,民族街1～43號,新化區,新化分隊,紅
信義路93巷,130,1.5,信義路93巷1～25號,新化區,新化分隊,紅
信義路117、131巷,350,1.5,信義路117巷1～115號接131巷2～120號,新化區,新化分隊,紅
佳聖大樓(健康路101巷9號),6,4,健康路101巷9號,新化區,新化分隊,藍
泰慶大樓(中山路595號),4,3,中山路595號,新化區,新化分隊,藍
巴黎廣場(信義路169號),20,4,信義路169號,新化區,新化分隊,藍
福鎮大樓(中正路580巷2號),20,2.5,中正路580巷2號,新化區,新化分隊,藍
龍門大廈(大新路111巷),20,4,大新路111巷,新化區,新化分隊,藍
蘇厝里80-1~132號,350,3,蘇厝里80-1~132號,安定區,安定分隊,紅
蘇厝里85-1~112-37號,255,3.7,蘇厝里85-1~112-37號,安定區,安定分隊,紅
蘇厝里20~55號,158,4,蘇厝里20~55號,安定區,安定分隊,紅
蘇厝里380~430-8號,315,4,蘇厝里380~430-8號,安定區,安定分隊,紅
港南里35~139-6號,234,4,港南里35~139-6號,安定區,安定分隊,紅
港南里57~163號,277,4,港南里57~163號,安定區,安定分隊,紅
港南里200~348號,160,4,港南里200~348號,安定區,安定分隊,紅
港南里329-27~331-20號,125,4,港南里329-27~331-20號,安定區,安定分隊,紅
港口里249~272號,304,4,港口里249~272號,安定區,安定分隊,紅
港尾里1~115號,448,4,港尾里1~115號,安定區,安定分隊,紅
海寮里11~18-3號,274,4,海寮里11~18-3號,安定區,安定分隊,紅
文科里南安2~14-1號,153,3,文科里南安2~14-1號,安定區,安定分隊,紅
大橋一街139巷,200,3,1號~35號,永康區,永康分隊,紅
大橋一街223巷,200,3,1號~20號,永康區,永康分隊,紅
大橋二街239巷,100,3,1號~27號 ,永康區,永康分隊,紅
大橋三街57巷,120,3,1號~10號,永康區,永康分隊,紅
大橋三街199巷,110,4,1號~24號,永康區,永康分隊,紅
大橋三街261巷,100,3,1號~17號,永康區,永康分隊,紅
中華西街85巷,110,3,1號~16號,永康區,永康分隊,紅
中華西街104巷,120,3,1號~18號,永康區,永康分隊,紅
中華西街122巷,200,3,1號~16號,永康區,永康分隊,紅
中華西街127巷,130,3,1號~23號,永康區,永康分隊,紅
南工街212巷,130,4,3.7弄,永康區,永康分隊,紅
二王路40巷,150,2,1號~15號,永康區,永康分隊,紅
中山南路95巷,90,2.5,1號~6號,永康區,永康分隊,紅
中山南路510巷,150,4,1號~6號,永康區,永康分隊,紅
中山南路520巷,200,4,1號~10號,永康區,永康分隊,紅
中山南路544巷,120,3,52.59弄,永康區,永康分隊,紅
中山南路1116巷,150,2,1號~25號,永康區,永康分隊,紅
中山北路18巷,50,2,1號~30號,永康區,永康分隊,紅
永二街244巷,120,4,2.4.6.8弄,永康區,永康分隊,紅
永二街288巷,100,4,1號~10號,永康區,永康分隊,紅
永康街136巷,150,4,1號~28號,永康區,永康分隊,紅
永康街186巷,80,2.5,1號~12號,永康區,永康分隊,紅
永華路776巷,120,4,1號~20號,永康區,永康分隊,紅
永中街100巷,110,2,1號~32號,永康區,永康分隊,紅
永中街138巷,170,2,1號~20號,永康區,永康分隊,紅
王行路898巷,200,4,1號~20號,永康區,永康分隊,紅
大橋一街103巷,200,6,1號~13號,永康區,永康分隊,黃
大橋一街139巷44弄,200,5,1號~35號,永康區,永康分隊,黃
大橋三街57巷19弄,150,5,1號~30號,永康區,永康分隊,黃
中華西街21巷,100,6,1號~24號,永康區,永康分隊,黃
中華路619巷22弄,120,6,1號~14號,永康區,永康分隊,黃
中山南路644巷,150,4.5,1號~26號,永康區,永康分隊,黃
中山南路471巷,350,5,1號~13號,永康區,永康分隊,黃
王行路866巷,300,5,1號~10號,永康區,永康分隊,黃
復興路71巷112弄,200,3,復興路71巷112弄全部,永康區,復興分隊,紅
復興路277巷,800,2,復興路277巷(弄)全部,永康區,復興分隊,紅
復興路427號,80,2,復興路427-1~427-27號,永康區,復興分隊,紅
復興路423巷,600,1~2,復興路423巷全部約60戶,永康區,復興分隊,紅
復興路429巷,1000,2~3,復興路429巷全部約20戶,永康區,復興分隊,紅
復興路282巷,60,1~3,復興路282巷全部約20戶,永康區,復興分隊,紅
復興路296巷,80,1~3,復興路296巷全部約20戶,永康區,復興分隊,紅
復興路356巷,400,1~3,復興路356巷全部約100戶,永康區,復興分隊,紅
中華路154巷1弄,40,2,中華路154巷1弄約6戶民宅,永康區,復興分隊,紅
中華路154巷2弄,40,2,中華路154巷2弄約6戶民宅,永康區,復興分隊,紅
忠孝路239巷9弄,80,2,忠孝路239巷9弄內約40戶民宅,永康區,復興分隊,紅
忠孝路239巷20弄,100,2,忠孝路239巷20弄內約50戶民宅,永康區,復興分隊,紅
勝利街2巷,250,3,勝利街2巷弄內,永康區,復興分隊,紅
忠孝路207巷,200,2~4,永康區忠孝路207巷約100戶民宅,永康區,復興分隊,紅
中華路154巷18弄,60,2,中華路154巷18弄內民宅,永康區,復興分隊,黃
中華路154巷,300,2,中華路154巷43號-70號,永康區,復興分隊,黃
中華路212巷,200,3,中華路212巷內民宅,永康區,復興分隊,黃
中華路214巷,80,3,中華路214巷約內民宅,永康區,復興分隊,黃
中華路216巷12弄,80,3,中華路216巷12弄約內民宅,永康區,復興分隊,黃
中華路216巷,200,3,中華路216巷內約60戶民宅,永康區,復興分隊,黃
中華路216巷1弄,80,3,中華路216巷1弄內民宅,永康區,復興分隊,黃
中華路216巷35弄,40,3,中華路216巷35弄內戶民宅,永康區,復興分隊,黃
小東路477巷,150,3,小東路477巷內民宅,永康區,復興分隊,黃
忠勇街32巷尾,80,3,忠勇街32巷尾內約民宅,永康區,復興分隊,黃
中興街45巷,40,2,中興街45巷內約民宅,永康區,復興分隊,黃
中興街55巷,40,2,中興街55巷內約民宅,永康區,復興分隊,黃
中興街57巷,40,2,中興街57巷內約民宅,永康區,復興分隊,黃
兵仔市場內,1000,2,勝利街100號~131號內市場區,永康區,復興分隊,黃
勝利街22巷45弄,150,2,勝利街22巷45弄,永康區,復興分隊,黃
中華二路88巷,150,2,中華二路88巷內民宅,永康區,復興分隊,黃
中華一路58巷,100,2,中華一路58巷弄內民宅,永康區,復興分隊,黃
中華路286巷,150,3,中華路286巷內約100戶民宅,永康區,復興分隊,黃
南工街247巷35弄,300,2,南工街247巷35弄內約120戶民宅,永康區,復興分隊,黃
高統領大樓,35,大於15,永康區中山南路262巷260號(部分大樓為雲梯車無法靠近),永康區,復興分隊,藍
御京鄉大樓,20,大於15,永康區中華路578巷17號(部分大樓為雲梯車無法靠近),永康區,復興分隊,藍
高崗屋大樓,15,大於15,永康區新興街8號(部分大樓為雲梯車無法靠近),永康區,復興分隊,藍
觀雲社區丙區,10,大於15,中華二路340巷8號(部分大樓為雲梯車無法靠近),永康區,復興分隊,藍
觀雲社區乙區,10,大於15,中華二路358巷10號(部分大樓為雲梯車無法靠近),永康區,復興分隊,藍
觀雲社區甲區,10,大於15,中華二路340巷15弄巷6號(部分大樓為雲梯車無法靠近),永康區,復興分隊,藍
大時代大樓,10,大於15,中華一路203巷16號(部分大樓為雲梯車無法靠近),永康區,復興分隊,藍
大日坎城新特區,10,大於15,永康區南工街311巷62-64號(部分大樓為雲梯車無法靠近),永康區,復興分隊,藍
椰風名廈,60,大於15,永康區復華一街65號17號(部分大樓為雲梯車無法靠近),永康區,復興分隊,藍
攬翠華廈,100,大於15,永康區國華102巷80-120號(部分大樓為雲梯車無法靠近),永康區,復興分隊,藍
凡爾賽宮,70,大於15,永康區復華三街90巷12-18號(部分大樓為雲梯車無法靠近),永康區,復興分隊,藍
棕櫚泉一期大樓,30,大於15,永康區復華八街47巷34號(部分大樓為雲梯車無法靠近),永康區,復興分隊,藍
公園華廈,60,大於15,永康區國華街102巷52-67號(部分大樓為雲梯車無法靠近),永康區,復興分隊,藍
至真生活家,20,大於15,永康區復國二路260號(部分大樓為雲梯車無法靠近),永康區,復興分隊,藍
香謝華廈,20,大於15,永康區復國二路217號(部分大樓為雲梯車無法靠近),永康區,復興分隊,藍
坎城風情大樓,25,大於15,永康區南工街267巷66號(部分大樓為雲梯車無法靠近),永康區,復興分隊,藍
棕櫚泉二期大樓,30,大於15,永康區復華八街47巷43號(部分大樓為雲梯車無法靠近),永康區,復興分隊,藍
陽光華廈,20,大於15,永康區復華七街32巷23號(部分大樓為雲梯車無法靠近),永康區,復興分隊,藍
綠意華廈,100,大於15,永康區國華街102巷97號(部分大樓為雲梯車無法靠近),永康區,復興分隊,藍
慶都大帝大樓,20,大於15,永康區國華街59號(部分大樓為雲梯車無法靠近),永康區,復興分隊,藍
白金漢宮,30,大於15,永康區復華三街62號(部分大樓為雲梯車無法靠近),永康區,復興分隊,藍
麗晶大樓,50,大於15,永康區復國二路215巷30號(部分大樓為雲梯車無法靠近),永康區,復興分隊,藍
影劇三村國宅,50,大於15,永康區復國路60~76號(部分大樓為雲梯車無法靠近),永康區,復興分隊,藍
精忠新城,30,大於15,永康區中華路58巷56~76號(部分大樓為雲梯車無法靠近),永康區,復興分隊,藍
晶采大樓,35,大於15,永康區中華二路355、357、359號(部分大樓為雲梯車無法靠近),永康區,復興分隊,藍
摩登大樓,50,大於15,永康區中山東路138~178號(部分大樓為雲梯車無法靠近),永康區,復興分隊,藍
湯山新城大樓,100,大於15,永康區小東路423巷10號(部分大樓為雲梯車無法靠近),永康區,復興分隊,藍
大灣路40巷209弄,100,3,華貴大夏大樓大灣路40巷209弄1號,永康區,大灣分隊,紅
大灣五街69巷,150,3,大灣五街69巷內民宅,永康區,大灣分隊,紅
大灣路406巷,200,3,大灣路406巷內民宅,永康區,大灣分隊,紅
大灣路436巷,300,3,大灣路436巷內民宅,永康區,大灣分隊,紅
大灣路1020巷,300,3,大灣路1020巷內民宅,永康區,大灣分隊,紅
立興街28巷,200,3,立興街28巷內民宅,永康區,大灣分隊,紅
南灣街60巷,300,3,南灣街60巷,永康區,大灣分隊,紅
富強路一段2巷31弄,100,4,采金仙境富強路一段2巷31弄1號,永康區,大灣分隊,黃
富強路一段2巷8弄,100,4,中意生活富強路一段2巷8弄51號,永康區,大灣分隊,黃
富強路一段185巷2弄,100,4,翰林居富強路一段185巷2弄56號,永康區,大灣分隊,黃
富強路一段321巷,150,4,富強路一段321巷內民宅,永康區,大灣分隊,黃
富強路一段279巷,150,4,富強路一段279巷內民宅,永康區,大灣分隊,黃
廣興街38巷34弄,100,4,廣興一期廣興街38巷34弄34號,永康區,大灣分隊,黃
大灣路37巷,300,4,大灣路37巷內民宅,永康區,大灣分隊,黃
大灣路41巷,300,4,大灣路41巷內民宅,永康區,大灣分隊,黃
大灣七街74巷,200,4,大灣七街74巷內民宅,永康區,大灣分隊,黃
信義街62巷,100,4,信義街62巷內民宅,永康區,大灣分隊,黃
信義街44巷,100,4,信義街44巷內民宅,永康區,大灣分隊,黃
文賢街78巷,100,4,文賢街78巷內民宅,永康區,大灣分隊,黃
文賢街108巷,100,4,文賢街108巷內民宅,永康區,大灣分隊,黃
大灣五街39巷,150,4,大灣五街39巷內民宅,永康區,大灣分隊,黃
南灣街87巷,300,4,南灣街87巷內民宅,永康區,大灣分隊,黃
南灣街100巷,250,4,南灣街100巷內民宅,永康區,大灣分隊,黃
南灣街99巷,300,4,南灣街99巷內民宅,永康區,大灣分隊,黃
民族路273巷13弄,100,4,民族路273巷13弄內民宅,永康區,大灣分隊,黃
大灣三街21巷,100,4,大灣三街21巷內民宅,永康區,大灣分隊,黃
大灣三街57巷,150,4,大灣三街57巷內民宅,永康區,大灣分隊,黃
大灣二街38巷,150,4,大灣二街38巷內民宅,永康區,大灣分隊,黃
大灣路40巷,800,6,華貴大鎮大灣路40巷209弄1號,永康區,大灣分隊,藍
中正南路52巷,600,3,中正南路52巷2-61號,永康區,鹽行分隊,紅
中正南路168巷,300,3,中正南路168巷2-37號,永康區,鹽行分隊,紅
中正南路210巷,150,4,中正南路210巷1-43號,永康區,鹽行分隊,紅
中正路635巷,350,3,中正路635巷5-46號,永康區,鹽行分隊,紅
南台街54巷,170,4,南台街54巷1-53號,永康區,鹽行分隊,紅
南台街75巷,130,4,南台街75巷1-19號,永康區,鹽行分隊,紅
南台街89巷,120,3,南台街89巷1-28號,永康區,鹽行分隊,紅
蔦松一街35巷,150,3,蔦松一街35巷1-30號,永康區,鹽行分隊,紅
蔦松一街74巷,100,4,蔦松一街74巷1-46號,永康區,鹽行分隊,紅
蔦松二街162巷,100,3,蔦松二街162巷1-28號,永康區,鹽行分隊,紅
和平路212巷,180,3,和平路212巷5-25號,永康區,鹽行分隊,紅
三民街79巷,500,3,三民街79巷1-25號,永康區,鹽行分隊,紅
三民街90巷,400,3,三民街90巷1-55號(單號),永康區,鹽行分隊,紅
洲尾街74巷,140,3,洲尾街74巷1-37號,永康區,鹽行分隊,紅
洲尾街191巷,100,4,洲尾街191巷1-21號,永康區,鹽行分隊,紅
洲尾街225巷,30,4,洲尾街225巷1、3、5號,永康區,鹽行分隊,紅
中正北路19巷,210,4,中正北路19巷1-17號,永康區,鹽行分隊,紅
南台街3巷,160,5,南台街3巷2-38號(雙號),永康區,鹽行分隊,黃
中正北路71巷,170,5,中正北路71巷1-32號,永康區,鹽行分隊,黃
新民街47巷,60,6,新民街47巷1-12號,永康區,鹽行分隊,藍
新民街66巷,70,3,新民街66巷1-6號,永康區,鹽行分隊,藍
永安路165巷30弄,145,6,永安路165巷30巷1-21號,永康區,鹽行分隊,藍
永安路165巷109弄,100,4,永安路165巷109弄2.4.6.6-1號,永康區,鹽行分隊,藍
南台街,450,6,南台街1-180號,永康區,鹽行分隊,藍
中華路912巷59弄,170,3,中華路912巷59弄1-11號(單號),永康區,鹽行分隊,藍
太子二街138巷,30,2,巷內住宅,仁德區,仁德分隊,紅
長興四街64巷,30,2.5,巷內住宅,仁德區,仁德分隊,紅
中正路二段936巷20弄,80,3,巷內住宅,仁德區,仁德分隊,紅
中正路二段994巷,120,3,10弄及14弄住宅,仁德區,仁德分隊,紅
中清路248巷,80,3,7弄及16弄住宅,仁德區,仁德分隊,紅
仁義五街57巷1弄,200,3,1~36號附近住宅,仁德區,仁德分隊,紅
中山路328巷,40,3,16弄及18弄住宅,仁德區,仁德分隊,紅
勝利二街29巷,30,3,29巷及39巷內住宅,仁德區,仁德分隊,黃
德安路32巷,50,3,巷內住宅、工廠,仁德區,仁德分隊,黃
北保東路8巷,60,4,巷內住宅,仁德區,仁德分隊,黃
義林路241巷,50,4,巷內住宅,仁德區,仁德分隊,黃
長興路87巷21弄,60,4.5,巷內住宅(約30戶),仁德區,仁德分隊,黃
民安路2段77號,100,3,77號大樓住戶,仁德區,仁德分隊,藍
北保一街61號-125號,50,3,61-69號集合住宅,仁德區,仁德分隊,藍
德崙路21巷,40,3,東方郡國大樓住戶,仁德區,仁德分隊,藍
仁和里成功一街35巷,83,1,仁德區仁和里成功一街35巷,仁德區,文賢分隊,紅
仁和里成功一街43巷,82,1,仁德區仁和里成功一街43巷,仁德區,文賢分隊,紅
仁和里成功一街67巷,185,1,仁德區仁和里成功一街67巷,仁德區,文賢分隊,紅
仁和里成功二街7巷,189,2,仁德區仁和里成功二街7巷,仁德區,文賢分隊,紅
仁和里保華路145巷,195,2,仁德區仁和里保華路145巷,仁德區,文賢分隊,紅
仁和里成功一街131巷,126,1,仁德區仁和里成功一街131巷,仁德區,文賢分隊,紅
二行里行大街341巷,128,2,仁德區二行里行大街341巷,仁德區,文賢分隊,黃
上崙里德崙路175巷,137,2,仁德區上崙里德崙路175巷,仁德區,文賢分隊,黃
二行里行大街172巷,400,2,仁德區二行里行大街172巷,仁德區,文賢分隊,黃
二行里行大街285巷,78,2,仁德區二行里行大街285巷,仁德區,文賢分隊,黃
二行里行大街422巷,96,2,仁德區二行里行大街422巷,仁德區,文賢分隊,黃
二行里行大街56巷,151,2,仁德區二行里行大街56巷,仁德區,文賢分隊,黃
二行里行大街521巷,73,2,仁德區二行里行大街521巷,仁德區,文賢分隊,黃
二行里二行一路83巷,152,2,仁德區二行里二行一路83巷,仁德區,文賢分隊,黃
二行里二行一路153巷,106,2,仁德區二行里二行一路153巷,仁德區,文賢分隊,黃
德崙路442巷35弄,450,5,仁德區德崙路４４２巷３５弄,仁德區,文賢分隊,黃
二空路221號,231,3.5,仁德區二空路２２１號,仁德區,文賢分隊,黃
上崙里德善路305巷,120,2,仁德區上崙里德善路305巷,仁德區,文賢分隊,藍
保安路一段56巷,662,2,仁德區保安路一段56巷,仁德區,文賢分隊,藍
民生十街八巷 ,60,4,1.2.3.5.6.7.8.9.10號,歸仁區,歸仁分隊,紅
民生十街十八巷,60,4,"單號：1.3.5.7.9.15.17
雙號：2.6.8.10.14",歸仁區,歸仁分隊,紅
崙頂三街,200,4,"單號：1至49號(39號除外)
雙號：2至56號(4.44號除外)",歸仁區,歸仁分隊,紅
崙頂五街,200,4,"單號：1至49號(39號除外)
雙號：2至56號(4.44號除外)",歸仁區,歸仁分隊,紅
成功八街,250,4,"單號：1至27號
雙號：2至26號(4號除外)",歸仁區,歸仁分隊,紅
成功路一段155巷,120,3,12.13.17號,歸仁區,歸仁分隊,紅
成功路一段159巷,100,3,2至16號。3.7號,歸仁區,歸仁分隊,紅
大智街23巷,50,2,6.8.10號,歸仁區,歸仁分隊,紅
信義南路53巷,80,2,16號,歸仁區,歸仁分隊,紅
信義南路101巷,130,4,5至19號。2至12號,歸仁區,歸仁分隊,紅
中山路一段319巷,150,4,8至58號,歸仁區,歸仁分隊,紅
中山路一段515巷,80,3,1至13號。2至16號,歸仁區,歸仁分隊,紅
忠孝南路60巷,250,2,2至30號，23至39號,歸仁區,歸仁分隊,紅
中正南路一段153巷,180,3,2至50號。1至15號,歸仁區,歸仁分隊,紅
中正南路一段131巷,200,3,2至40號，1至19號,歸仁區,歸仁分隊,紅
中正南路一段76巷,100,3,1至5號。18至28號,歸仁區,歸仁分隊,紅
中正南路一段183巷,2000,3,9至13號。2.10.16號,歸仁區,歸仁分隊,紅
中正南路一段810巷,60,3,1至43號。,歸仁區,歸仁分隊,紅
中正南路三段95巷,150,3,3.7.9.17號,歸仁區,歸仁分隊,紅
和平南街71巷,100,3,1至21號,歸仁區,歸仁分隊,紅
和平南街89巷,70,2,26號,歸仁區,歸仁分隊,紅
和平南街126巷,40,3,1至5號。2至10號,歸仁區,歸仁分隊,紅
大潭二街,350,3,1至67號。2至66號,歸仁區,歸仁分隊,紅
長榮路一段200巷,1500,2,5至69號。10號,歸仁區,歸仁分隊,紅
六甲二街,400,2,3至9號，27.31.45號。2至62號,歸仁區,歸仁分隊,紅
六甲六街,500,2.5,15至33號。2至72號,歸仁區,歸仁分隊,紅
公園路39巷,100,3,2至32號,歸仁區,歸仁分隊,紅
公園路156巷,80,4,2至26號,歸仁區,歸仁分隊,紅
中正十八街,100,3,"單號：1至45號
雙號：2至48號",歸仁區,歸仁分隊,紅
公園八街,100,6,2.6.8.10.12.16.18.20.22.24.26.28.30.32.1.3.5.7.9.11.13.15.17.19.21.23.24.25.26.27.28.29.30.31.34.35.36.37.38.39.41.42.43.45.46.47.48.49.50,歸仁區,歸仁分隊,黃
成功十街,100,6,2.6.8.10.12.14.16.18.20.22.24.26.30.32.34.36.1.3.5.7.9.11.13.15.17,歸仁區,歸仁分隊,黃
民生十街,600,4.5,民生十街(2.6.8巷10巷),歸仁區,歸仁分隊,黃
民族北街31巷弄,40,3,6.9.13號,歸仁區,保西分隊,紅
民族北街58巷,60,3,21號,歸仁區,保西分隊,紅
中正北路一段47巷,80,4,2.6.8.10.7.9.11.13.15.17號,歸仁區,保西分隊,紅
中正北路三段160巷,80,4,1.3.5.7.9.11.6.16.20號,歸仁區,保西分隊,紅
中正北路三段205巷弄,60,4,2~36號,歸仁區,保西分隊,紅
保順路二段66巷,100,4,2~50號,歸仁區,保西分隊,紅
保大路二段122巷,150,4,5~40號,歸仁區,保西分隊,紅
保大路一段151巷,100,4,2~30號,歸仁區,保西分隊,紅
保大路一段187巷,40,4,6~21號,歸仁區,保西分隊,紅
大廟一街38巷,200,4,1~46號,歸仁區,保西分隊,紅
國光街66巷,100,3,1.3.5號,歸仁區,保西分隊,紅
媽廟一街38巷,120,4,整條巷,歸仁區,保西分隊,紅
文化十二街66巷,60,5,1.3.5.7.9.11.13號,歸仁區,保西分隊,黃
中山路一段30巷,80,5,1~19號,歸仁區,保西分隊,黃
民生二街146巷,100,5,1~32號,歸仁區,保西分隊,黃
和平路186巷9弄,50,3,1-72號,關廟區,關廟分隊,紅
東興路250巷,80,2,6-10號,關廟區,關廟分隊,紅
東興路250巷1弄,50,2,1-18號,關廟區,關廟分隊,紅
中山路216巷,50,2,2-12號,關廟區,關廟分隊,紅
四維街260巷,80,2,12-29號,關廟區,關廟分隊,紅
四維街260巷2弄,50,2,2-6號,關廟區,關廟分隊,紅
武聖路,50,3,1-10號,關廟區,關廟分隊,紅
忠孝街,90,3,51-88號,關廟區,關廟分隊,紅
花園一街191巷,80,3,1-19號,關廟區,關廟分隊,紅
花園一街191巷7弄,90,3,1-9號,關廟區,關廟分隊,紅
中山路一段89巷,100,3,1-63號,關廟區,關廟分隊,紅
松平街56巷,200,3,1-70號,關廟區,關廟分隊,紅
文賢路1122巷34弄,25,3.5,全,北區,和緯分隊,紅
大興街246巷38弄,7,3,全,北區,和緯分隊,紅
文賢路1122巷40弄,25,4,全,北區,和緯分隊,紅
文賢路1080巷,15,4,全,北區,和緯分隊,紅
文賢路1122巷24弄,6,4,全,北區,和緯分隊,紅
大興街246巷38弄49號,10,4,全,北區,和緯分隊,紅
文賢路313巷56弄,30,4,全,北區,和緯分隊,紅
文賢路1122巷11弄,23,4,全,北區,和緯分隊,紅
大興街246巷53弄,15,4,全,北區,和緯分隊,紅
臨安路二段68巷,50,4,全,北區,和緯分隊,紅
臨安路二段50巷,48,4,全,北區,和緯分隊,紅
海安路三段53巷,26,4,全,北區,和緯分隊,紅
海安路三段41巷,26,4,全,北區,和緯分隊,紅
大興街355巷,45,4,全,北區,和緯分隊,紅
成功路410巷14號,60,4,全,北區,和緯分隊,紅
大安街103巷,90,3.8,1~13.2~14,安南區,安南分隊,紅
大安街110巷,180,3.8,1~25.2~24,安南區,安南分隊,紅
大安街117巷,50,3.8,1~11,安南區,安南分隊,紅
大安街124巷,180,3.8,1~23.2~24,安南區,安南分隊,紅
大安街173巷,80,3.8,1~11.2~12,安南區,安南分隊,紅
大安街180巷,130,3.3,1~25.16~26,安南區,安南分隊,紅
大安街257巷,110,4.3,1~15.2~14,安南區,安南分隊,紅
大安街264巷,100,3.8,1~25,安南區,安南分隊,紅
大安街59巷,80,2.9,1~11.2~10,安南區,安南分隊,紅
大安街75巷,80,3.7,1~9.2~14,安南區,安南分隊,紅
大安街82巷,220,3,1~25.2~28,安南區,安南分隊,紅
大安街89巷,120,3.8,1~15.2~16,安南區,安南分隊,紅
大安街96巷,180,3.8,1~21.2~24,安南區,安南分隊,紅
公學路4段234巷,300,3.1,1~61.2~64,安南區,安南分隊,紅
本原街一段97巷,350,3.1,80戶,安南區,安南分隊,紅
