,,"違反勞動基準法而依第79條第3項公布之相關資料",,,,
"項次","事業單位/事業主","違反","違反法規內容","處分書文號","處分日期","備註"
,,"法令條款",,,,
"*1","豐興茶行(廖國雄)","勞動基準法第30條第5項","未依規定置備勞工出勤紀錄表",1030884052,"103.09.22",
,,,,,,
"*2","萬宇保全股份有限公司","勞動基準法第24條","延長工作時間超過法令規定",1030952754,"103.10.07",
,,,,,,
"*3","楊秋桂(即小箖髮廊)","勞動基準法第30條第5項","未依規定置備勞工出勤紀錄表",1030813401,"103.10.09",
,,,,,,
"*4","台灣基督教長老教會新樓醫療財團法人台南新樓醫院","勞動基準法第32條第2項","延長工作時間超過法令規定",10300465875,"103.9.25",
,,,,,,
"*5","進南貨運股份有限公司","勞動基準法第49條第1項","使女工從事夜間工作不符法定要件",1030902513,"103.9.19",
,,,,,,
6,"安集科技股份有限公司","勞動基準法第32條第2項","延長工作時間超過法令規定",1030013855,"103.01.08",
,,,,1030930466,"103.10.01",
,"註：打*號者為專案檢查",,,,,
